fpr,tpr,threshold
0.0000,0.0000,100.00
0.0000,0.0027,95.88
0.0000,0.0055,95.88
0.0000,0.0082,95.88
0.0000,0.0110,95.88
0.0000,0.0137,95.88
0.0000,0.0164,95.88
0.0000,0.0192,95.88
0.0000,0.0219,95.88
0.0000,0.0247,95.88
0.0000,0.0274,95.88
0.0000,0.0301,95.75
0.0000,0.0329,95.68
0.0000,0.0356,95.37
0.0000,0.0384,95.37
0.0000,0.0411,95.37
0.0000,0.0438,95.37
0.0000,0.0466,95.37
0.0000,0.0493,95.37
0.0000,0.0521,95.37
0.0000,0.0548,95.37
0.0000,0.0575,95.37
0.0000,0.0603,95.37
0.0000,0.0630,95.37
0.0000,0.0658,95.37
0.0000,0.0685,95.37
0.0000,0.0712,95.37
0.0000,0.0740,95.37
0.0000,0.0767,94.88
0.0000,0.0795,94.88
0.0000,0.0822,94.88
0.0000,0.0849,94.88
0.0000,0.0877,94.88
0.0000,0.0904,94.88
0.0000,0.0932,94.88
0.0000,0.0959,94.88
0.0000,0.0986,94.88
0.0000,0.1014,94.88
0.0000,0.1041,94.88
0.0000,0.1068,94.88
0.0000,0.1096,94.84
0.0000,0.1123,94.38
0.0000,0.1151,93.97
0.0000,0.1178,93.97
0.0000,0.1205,93.97
0.0000,0.1233,93.97
0.0000,0.1260,93.87
0.0000,0.1288,93.87
0.0000,0.1315,93.87
0.0000,0.1342,93.65
0.0000,0.1370,93.62
0.0000,0.1397,93.62
0.0000,0.1425,93.62
0.0000,0.1452,93.38
0.0000,0.1479,93.38
0.0000,0.1507,93.38
0.0000,0.1534,93.38
0.0000,0.1562,93.38
0.0000,0.1589,93.38
0.0000,0.1616,93.38
0.0000,0.1644,93.27
0.0000,0.1671,92.99
0.0000,0.1699,92.99
0.0000,0.1726,92.62
0.0000,0.1753,92.10
0.0000,0.1781,92.08
0.0000,0.1808,91.88
0.0000,0.1836,91.88
0.0000,0.1863,91.88
0.0000,0.1890,91.88
0.0000,0.1918,91.88
0.0000,0.1945,91.88
0.0000,0.1973,91.88
0.0000,0.2000,91.88
0.0000,0.2027,91.88
0.0000,0.2055,91.88
0.0000,0.2082,91.88
0.0000,0.2110,91.88
0.0000,0.2137,91.88
0.0000,0.2164,91.75
0.0000,0.2192,91.75
0.0000,0.2219,91.75
0.0000,0.2247,91.75
0.0000,0.2274,91.75
0.0000,0.2301,91.67
0.0000,0.2329,91.62
0.0000,0.2356,91.55
0.0000,0.2384,91.55
0.0000,0.2411,91.55
0.0000,0.2438,91.55
0.0000,0.2466,91.22
0.0000,0.2493,91.18
0.0000,0.2521,91.18
0.0000,0.2548,91.13
0.0000,0.2575,90.91
0.0000,0.2603,90.91
0.0000,0.2630,90.91
0.0000,0.2658,90.86
0.0000,0.2685,90.86
0.0000,0.2712,90.79
0.0000,0.2740,90.79
0.0000,0.2767,90.69
0.0000,0.2795,90.66
0.0000,0.2822,90.53
0.0000,0.2849,90.53
0.0000,0.2877,90.53
0.0000,0.2904,90.53
0.0000,0.2932,90.53
0.0000,0.2959,90.53
0.0000,0.2986,90.53
0.0000,0.3014,90.53
0.0000,0.3041,90.53
0.0000,0.3068,90.53
0.0000,0.3096,90.53
0.0000,0.3123,90.48
0.0000,0.3151,90.48
0.0000,0.3178,90.37
0.0000,0.3205,90.37
0.0000,0.3233,90.36
0.0000,0.3260,90.34
0.0000,0.3288,90.34
0.0000,0.3315,90.28
0.0000,0.3342,90.05
0.0000,0.3370,89.75
0.0000,0.3397,89.74
0.0000,0.3425,89.70
0.0000,0.3452,89.63
0.0000,0.3479,89.63
0.0000,0.3507,89.63
0.0000,0.3534,89.63
0.0000,0.3562,89.63
0.0000,0.3589,89.63
0.0000,0.3616,89.63
0.0000,0.3644,89.63
0.0000,0.3671,89.63
0.0000,0.3699,89.63
0.0000,0.3726,89.42
0.0000,0.3753,89.38
0.0000,0.3781,89.25
0.0000,0.3808,89.00
0.0000,0.3836,89.00
0.0000,0.3863,89.00
0.0000,0.3890,89.00
0.0000,0.3918,89.00
0.0000,0.3945,89.00
0.0000,0.3973,89.00
0.0000,0.4000,88.94
0.0000,0.4027,88.39
0.0000,0.4055,88.38
0.0000,0.4082,88.38
0.0000,0.4110,88.32
0.0000,0.4137,88.18
0.0000,0.4164,88.05
0.0000,0.4192,87.85
0.0000,0.4219,87.71
0.0000,0.4247,87.68
0.0000,0.4274,87.57
0.0000,0.4301,87.54
0.0000,0.4329,87.52
0.0000,0.4356,87.52
0.0000,0.4384,87.47
0.0000,0.4411,87.46
0.0000,0.4438,87.46
0.0000,0.4466,87.46
0.0000,0.4493,87.46
0.0000,0.4521,87.46
0.0000,0.4548,87.46
0.0000,0.4575,87.46
0.0000,0.4603,87.46
0.0000,0.4630,87.46
0.0000,0.4658,87.45
0.0000,0.4685,87.33
0.0000,0.4712,87.27
0.0000,0.4740,87.27
0.0000,0.4767,87.27
0.0000,0.4795,87.27
0.0000,0.4822,87.27
0.0000,0.4849,87.27
0.0000,0.4877,87.27
0.0000,0.4904,87.27
0.0000,0.4932,87.27
0.0000,0.4959,87.27
0.0000,0.4986,87.27
0.0000,0.5014,87.27
0.0000,0.5041,87.27
0.0000,0.5068,87.24
0.0022,0.5068,87.15
0.0043,0.5068,87.15
0.0065,0.5068,87.12
0.0065,0.5096,87.09
0.0065,0.5123,87.08
0.0065,0.5151,87.08
